series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	4	66.02688198	33.83160199	AFG	Afghanistan	1	KMSQ	Square kilometers	2017	217.496603964844	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	8	20.06660928	41.13897007	ALB	Albania	1	KMSQ	Square kilometers	2017	17.0740104296875	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	10	21.47585697	-80.40897662	ATA	Antarctica	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	12	2.678164227	28.15940032	DZA	Algeria	1	KMSQ	Square kilometers	2017	102.745380566406	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	20	1.576257417	42.54548611	AND	Andorra	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	24	17.57817062	-12.33724746	AGO	Angola	1	KMSQ	Square kilometers	2017	165.453158847656	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	KMSQ	Square kilometers	2017	29.790277265625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	32	-65.14563274	-35.19446255	ARG	Argentina	1	KMSQ	Square kilometers	2017	415.010328085937	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	36	134.3499412	-25.57717202	AUS	Australia	1	KMSQ	Square kilometers	2017	313.728339648437	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	40	14.14172472	47.58704857	AUT	Austria	1	KMSQ	Square kilometers	2017	51.476867265625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	44	-78.05111663	24.69546597	BHS	Bahamas	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	48	50.5490754	26.04407747	BHR	Bahrain	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	50	89.17660788	22.86961622	BGD	Bangladesh	1	KMSQ	Square kilometers	2017	1.809010546875	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	51	44.93839317	40.29499741	ARM	Armenia	1	KMSQ	Square kilometers	2017	20.1397205859375	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	52	-59.5346489	13.13648273	BRB	Barbados	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	56	4.660976456	50.64104975	BEL	Belgium	1	KMSQ	Square kilometers	2017	0.509671953125	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	60	-64.78155012	32.27881922	BMU	Bermuda	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	64	90.45098484	27.39598568	BTN	Bhutan	1	KMSQ	Square kilometers	2017	32.56218984375	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	KMSQ	Square kilometers	2017	317.651083652344	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	KMSQ	Square kilometers	2017	34.4028568359375	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	72	23.81380223	-22.18810073	BWA	Botswana	1	KMSQ	Square kilometers	2017	1.7298465234375	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	76	-53.08432878	-10.77668561	BRA	Brazil	1	KMSQ	Square kilometers	2017	779.930713720703	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	84	-88.70199554	17.19965901	BLZ	Belize	1	KMSQ	Square kilometers	2017	3.8375153320313	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	KMSQ	Square kilometers	2017	8.151558125	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	KMSQ	Square kilometers	2017	0.51686015625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	100	25.23763153	42.75731323	BGR	Bulgaria	1	KMSQ	Square kilometers	2017	45.8294278515625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	104	96.51752295	21.19332882	MMR	Myanmar	1	KMSQ	Square kilometers	2017	326.65561875	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	108	29.89080992	-3.366387428	BDI	Burundi	1	KMSQ	Square kilometers	2017	16.38018625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	112	28.04940161	53.54193075	BLR	Belarus	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	116	104.922836	12.71163737	KHM	Cambodia	1	KMSQ	Square kilometers	2017	14.98894453125	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	120	12.7419827	5.692387031	CMR	Cameroon	1	KMSQ	Square kilometers	2017	85.2395026757812	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	124	-101.6575058	57.72360191	CAN	Canada	1	KMSQ	Square kilometers	2017	1532.83831208984	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	KMSQ	Square kilometers	2017	0.7686336328125	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	140	20.93559492	7.003720791	CAF	Central African Republic	1	KMSQ	Square kilometers	2017	6.9390468164063	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	KMSQ	Square kilometers	2017	8.2697625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	148	18.66618401	15.36279341	TCD	Chad	1	KMSQ	Square kilometers	2017	11.9307145507813	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	152	-71.23029019	-35.2652885	CHL	Chile	1	KMSQ	Square kilometers	2017	226.554592578125	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	156	104.1403375	32.30955217	CHN	China	1	KMSQ	Square kilometers	2017	2926.33460101562	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	170	-73.07446751	3.888209046	COL	Colombia	1	KMSQ	Square kilometers	2017	292.40449625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	174	43.34234565	-11.66121732	COM	Comoros	1	KMSQ	Square kilometers	2017	1.2797020507813	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	175	45.14015057	-12.82217691	MYT	Mayotte	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	178	15.22052612	-0.840544119	COG	Congo	1	KMSQ	Square kilometers	2017	22.2668156835937	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	KMSQ	Square kilometers	2017	227.612555263672	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	KMSQ	Square kilometers	2017	22.7692576367188	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	191	17.95874553	45.45172212	HRV	Croatia	1	KMSQ	Square kilometers	2017	17.5836823828125	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	192	-79.54460144	22.10030366	CUB	Cuba	1	KMSQ	Square kilometers	2017	7.9774691796875	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	196	33.22285964	35.05659437	CYP	Cyprus	1	KMSQ	Square kilometers	2017	2.9535320019531	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	203	15.33151382	49.73913871	CZE	Czechia	1	KMSQ	Square kilometers	2017	20.184111484375	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	204	2.339933594	9.65401646	BEN	Benin	1	KMSQ	Square kilometers	2017	0.5935418945313	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	208	9.326571283	56.03829721	DNK	Denmark	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	212	-61.3493756	15.43391378	DMA	Dominica	1	KMSQ	Square kilometers	2017	0.5116687109375	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	KMSQ	Square kilometers	2017	16.1175643945313	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	KMSQ	Square kilometers	2017	116.323017832031	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	222	-88.86862995	13.73603564	SLV	El Salvador	1	KMSQ	Square kilometers	2017	10.23337421875	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	KMSQ	Square kilometers	2017	9.4697951757812	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	231	39.63505296	8.631223181	ETH	Ethiopia	1	KMSQ	Square kilometers	2017	514.666588027344	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	232	38.11074289	16.12894644	ERI	Eritrea	1	KMSQ	Square kilometers	2017	33.6182954296875	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	233	25.84093481	58.68487172	EST	Estonia	1	KMSQ	Square kilometers	2017	0.509671953125	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	KMSQ	Square kilometers	2017	0.2548359765625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	KMSQ	Square kilometers	2017	0.8668337304688	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	KMSQ	Square kilometers	2017	0	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	242	177.9660884	-17.83301566	FJI	Fiji	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	246	23.308447	61.91586738	FIN	Finland	1	KMSQ	Square kilometers	2017	5.0462434765625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	248	19.80945969	60.1544901	ALA	Åland Islands	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	250	2.457288129	46.62660861	FRA	France	1	KMSQ	Square kilometers	2017	108.1789725	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	254	-53.23619089	3.922673437	GUF	French Guiana	1	KMSQ	Square kilometers	2017	2.5343279296875	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	KMSQ	Square kilometers	2017					
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	262	42.18274707	11.56004161	DJI	Djibouti	1	KMSQ	Square kilometers	2017	2.555649765625	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	266	11.78727747	-0.60687619	GAB	Gabon	1	KMSQ	Square kilometers	2017	31.4806704492188	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	268	43.3713615	42.04813028	GEO	Georgia	1	KMSQ	Square kilometers	2017	50.6615173046875	Float		Food and Agriculture Organisation of United Nations ( FAO)	E
2018.Q2.G.01	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	270	-15.39944785	13.45295927	GMB	Gambia	1	KMSQ	Square kilometers	2017					
