series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Units	Age description	Units description	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	NUMBER	15 years old and over	Number	0.37365	0.59331	0.93769	1.25291	1.49115	2.24163	2.40094	2.23095	2.15297	2.27745	2.33223	2.191	2.21525	2.23378	2016	2.21525	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	8	20.06660928	41.13897007	ALB	Albania	1	15+	NUMBER	15 years old and over	Number	9.67682	11.69609	13.82393	18.60144	23.49872	24.00591	24.13042	24.09378	24.01735	23.40908	21.94187	21.85142	21.50958	22.54586	2016	21.50958	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	12	2.678164227	28.15940032	DZA	Algeria	1	15+	NUMBER	15 years old and over	Number	4.70424	4.69769	4.92094	5.03748	5.21223	5.14242	5.03236	5.15662	5.20012	5.19231	5.18849	5.23427	5.23446	5.20993	2016	5.23446	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	20	1.576257417	42.54548611	AND	Andorra	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	24	17.57817062	-12.33724746	AGO	Angola	1	15+	NUMBER	15 years old and over	Number	1.80997	2.23799	3.38051	3.87974	4.67002	5.23804	7.44677	8.40913	9.06792	10.17499	10.20332	10.43881	10.28611	10.03423	2016	10.28611	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	NUMBER	15 years old and over	Number						36.60215	35.98002	33.97172	33.41036	32.86771	29.6464	27.85774	27.44739	30.24592	2016	27.44739	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	NUMBER	15 years old and over	Number	6.51808	6.75205	7.33347	8.20872	9.1875	9.78643	9.86153	10.00147	9.69745	10.20297	10.82791	10.66056		10.3472225	2015	10.66056	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	NUMBER	15 years old and over	Number	13.27586	13.08727	13.09552	13.04716	12.98195	12.85054	12.87727	12.9979	13.09527	13.13303	13.12697	13.16881	13.3689	13.178596	2016	13.3689	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	36	134.3499412	-25.57717202	AUS	Australia	1	15+	NUMBER	15 years old and over	Number	30.66425	30.641	31.23817	31.66872	31.56301	31.21108	30.74734	30.40556	30.93415	30.13444	29.16199	28.76446	27.79604	29.358216	2016	27.79604	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	40	14.14172472	47.58704857	AUT	Austria	1	15+	NUMBER	15 years old and over	Number	13.92817	13.32138	13.03592	12.88147	12.58414	11.76476	11.28622	15.09856	15.9733	15.54429	14.84375	13.81139	12.62924	14.560394	2016	12.62924	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	NUMBER	15 years old and over	Number				39.94958	38.91021	36.76079	36.13363	35.41126	35.02591	34.00181	33.4124	29.65686	29.57781	32.334958	2016	29.57781	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	50	89.17660788	22.86961622	BGD	Bangladesh	1	15+	NUMBER	15 years old and over	Number	6.91538	6.86144	6.8923	6.92762	6.97722	7.18934	7.44327	7.64622	7.84514	8.01532	8.21022	8.37108	8.44057	8.176466	2016	8.44057	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	51	44.93839317	40.29499741	ARM	Armenia	1	15+	NUMBER	15 years old and over	Number	10.83837	12.30015	13.67942	15.80835	17.31369	17.79052	18.55556	19.98345	21.28331	21.7406	22.71153	23.39512	23.09807	22.445726	2016	23.09807	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	52	-59.5346489	13.13648273	BRB	Barbados	1	15+	NUMBER	15 years old and over	Number			19.21968	19.55008	19.42125	18.85657	18.76022	19.97559	20.75688	19.34891	21.02524	16.1448	16.50373	18.755912	2016	16.50373	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	56	4.660976456	50.64104975	BEL	Belgium	1	15+	NUMBER	15 years old and over	Number				8.30361	12.23575	11.68417	11.30728	10.49147	8.88095	8.90306	8.22942	7.54506	6.90356	8.09241	2016	6.90356	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	60	-64.78155012	32.27881922	BMU	Bermuda	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	64	90.45098484	27.39598568	BTN	Bhutan	1	15+	NUMBER	15 years old and over	Number	14.43054	13.80979	13.28889	12.82676	12.83427	12.84959	14.25215	16.18871	12.38941	15.92377	15.37482	15.22304	15.26914	14.836036	2016	15.26914	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	15+	NUMBER	15 years old and over	Number	4.4776	5.10119	5.7295	5.91499	6.28377	6.90121	8.59832	9.29843	9.71046	11.48429	15.05381	15.32081		12.8923425	2015	15.32081	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	15+	NUMBER	15 years old and over	Number		27.37855	28.18192	31.71478	33.82915	32.20829	31.37782	32.15388	31.75101	32.4467	33.30912	30.42294	28.93878	31.37371	2016	28.93878	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	72	23.81380223	-22.18810073	BWA	Botswana	1	15+	NUMBER	15 years old and over	Number	6.61956	6.31209	6.65564	7.61528	8.52813	8.48691	8.81498	8.40239	8.43025	8.59364	8.7478	8.09632	8.31892	8.437386	2016	8.31892	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	76	-53.08432878	-10.77668561	BRA	Brazil	1	15+	NUMBER	15 years old and over	Number		18.32387	18.19694	18.25133	18.88169	18.77897	18.26098	18.8086	20.07466	20.26847	21.08559	20.7225	20.40062	20.510368	2016	20.40062	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	84	-88.70199554	17.19965901	BLZ	Belize	1	15+	NUMBER	15 years old and over	Number	25.69926	25.44882	23.42195	26.34409	26.96144	26.0216	25.14215	24.29679	23.52249	24.11107	23.37412	21.01498	20.42484	22.4895	2016	20.42484	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	15+	NUMBER	15 years old and over	Number	7.45559	7.97992	8.12678	7.92167	7.72637	7.53928	4.47818	4.05819	3.95647	3.55855	4.0452	3.94224	4.11578	3.923648	2016	4.11578	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	15+	NUMBER	15 years old and over	Number	20.96973	25.80156	23.09718	22.68727	23.01786	23.69032	23.282	23.13909	22.66538	22.85968	20.16161	20.70757	19.43065	21.164978	2016	19.43065	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	100	25.23763153	42.75731323	BGR	Bulgaria	1	15+	NUMBER	15 years old and over	Number	84.91794	85.41114	84.47557	88.26899	92.17315	92.04516	91.64777	59.82395	61.14692	60.57664	60.35137	60.28248	48.53596	58.178674	2016	48.53596	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	104	96.51752295	21.19332882	MMR	Myanmar	1	15+	NUMBER	15 years old and over	Number	1.81812	1.73461	1.42609	1.45135	1.48149	1.50172	1.54328	1.69042	1.87462	2.76221	3.4169	3.37876	3.41065	2.968628	2016	3.41065	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	108	29.89080992	-3.366387428	BDI	Burundi	1	15+	NUMBER	15 years old and over	Number	1.55703	1.58921	1.71472	1.82877	1.86748	2.0305	2.26449	2.47869	2.69978	3.20792	3.13897	3.17668	3.17157	3.078984	2016	3.17157	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	112	28.04940161	53.54193075	BLR	Belarus	1	15+	NUMBER	15 years old and over	Number	6.09645	5.79904	5.56752	4.87553	4.39022	3.66788	3.19242	2.09858	1.70723	1.56274	1.20365	0.89214	0.85612	1.244376	2016	0.85612	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	116	104.922836	12.71163737	KHM	Cambodia	1	15+	NUMBER	15 years old and over	Number			2.32799	3.03472	3.14109	3.9629	4.11944	4.27608	4.49115	4.77495	5.69473	6.12415		5.271245	2015	6.12415	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	120	12.7419827	5.692387031	CMR	Cameroon	1	15+	NUMBER	15 years old and over	Number	0.48606	1.01467	1.0959	1.14177	1.23059	1.32242	1.70928	1.75738	1.85977	1.98724	2.01037			1.95246	2014	2.01037	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	124	-101.6575058	57.72360191	CAN	Canada	1	15+	NUMBER	15 years old and over	Number			24.57829	24.66927	24.61283	24.18642	24.0506	24.17498	24.23929	24.15184	23.90923	23.62491	22.94107	23.773268	2016	22.94107	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	15+	NUMBER	15 years old and over	Number	16.16485	16.34432	18.22121	21.32231	25.87428	28.37798	31.37359	30.74031	34.45451	34.3204	33.91385	33.80386	33.40897	33.980318	2016	33.40897	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	140	20.93559492	7.003720791	CAF	Central African Republic	1	15+	NUMBER	15 years old and over	Number	0.29886	0.2932	0.28881	0.48747	0.52025	0.75041	0.85957	0.89852	0.93972	1.02055				0.980135	2013	1.02055	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	144	80.70489654	7.614693343	LKA	Sri Lanka	1	15+	NUMBER	15 years old and over	Number	8.77503	9.08748	12.1114	13.37703	14.21132	15.01519	15.98392	17.39531	18.00905	18.30822	18.44316	18.58528		18.3364275	2015	18.58528	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	148	18.66618401	15.36279341	TCD	Chad	1	15+	NUMBER	15 years old and over	Number	0.38478	0.37059	0.35819	0.36431	0.49254	0.56009	0.62171	0.67904	0.6547	0.85092	0.97523	0.99404	1.01258	0.897494	2016	1.01258	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	152	-71.23029019	-35.2652885	CHL	Chile	1	15+	NUMBER	15 years old and over	Number	12.80204	13.37573	14.12229	15.2219	15.68921	17.27786	17.70673	17.61732	17.49216	17.35036	17.16778	16.49214	16.18618	16.937724	2016	16.18618	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	156	104.1403375	32.30955217	CHN	China	1	15+	NUMBER	15 years old and over	Number									7.69217	7.77604	8.01433	8.49376	8.78275	8.15181	2016	8.78275	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	162	105.6426067	-10.4882473	CXR	Christmas Island	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	170	-73.07446751	3.888209046	COL	Colombia	1	15+	NUMBER	15 years old and over	Number				11.00262	13.61031	13.56431	13.4233	14.38069	14.67212	15.29023	15.30853	15.90831	15.76239	15.388316	2016	15.76239	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	174	43.34234565	-11.66121732	COM	Comoros	1	15+	NUMBER	15 years old and over	Number	0.58347	0.56642	0.55053	1.07027	1.04048	1.26456	1.22967	2.15444	2.32987	2.49455	2.86967	2.79359	3.14108	2.725752	2016	3.14108	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	175	45.14015057	-12.82217691	MYT	Mayotte	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	178	15.22052612	-0.840544119	COG	Congo	1	15+	NUMBER	15 years old and over	Number	0.66424	0.64449	0.6238	1.3786	1.66619	1.69327	2.03226	2.48124	2.64907	3.24611	3.492	3.65077		3.2594875	2015	3.65077	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	15+	NUMBER	15 years old and over	Number	0.45895	0.45478	0.45131	0.47877	0.47296	0.48464	0.60141	0.61089	0.6917	0.64865	0.79446	1.02974		0.7911375	2015	1.02974	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	184	-159.7711391	-21.22696458	COK	Cook Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	188	-84.19712782	9.970998683	CRI	Costa Rica	1	15+	NUMBER	15 years old and over	Number	16.23428	18.15807	18.75559	20.89424	20.61826	20.20575	20.27365	23.12657	23.05165	22.56311	22.32378	22.32761	21.78546	22.410322	2016	21.78546	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	191	17.95874553	45.45172212	HRV	Croatia	1	15+	NUMBER	15 years old and over	Number	28.83914	30.7221	30.76599	32.66709	34.36291	35.67817	35.17546	35.92758	35.61913	34.65344	33.91375	33.60058	32.86067	34.129514	2016	32.86067	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	192	-79.54460144	22.10030366	CUB	Cuba	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	196	33.22285964	35.05659437	CYP	Cyprus	1	15+	NUMBER	15 years old and over	Number	67.50185	62.76204	60.77307	60.68779	61.18392	60.27748	57.97685	55.57432	52.15449	39.27784	37.86829	36.1721	34.33699	39.961942	2016	34.33699	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	203	15.33151382	49.73913871	CZE	Czechia	1	15+	NUMBER	15 years old and over	Number	20.99833	21.37379	21.89208	21.5866	22.80877	22.73827	22.61022	23.29032	23.8351	24.30177	24.22176	23.68619	22.36986	23.682936	2016	22.36986	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	204	2.339933594	9.65401646	BEN	Benin	1	15+	NUMBER	15 years old and over	Number	0.95551	1.10484	1.6408	2.0377	2.45032	2.83557	3.05861	3.28812	3.28053	3.3573	3.45975	3.65183	3.62214	3.47431	2016	3.62214	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	208	9.326571283	56.03829721	DNK	Denmark	1	15+	NUMBER	15 years old and over	Number	50.07968	50.19885	50.51895	51.8562	50.44955	45.79678	40.86215	38.72513	34.08391	30.01479	27.78596	24.69212	23.91175	28.097706	2016	23.91175	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	212	-61.3493756	15.43391378	DMA	Dominica	1	15+	NUMBER	15 years old and over	Number	21.78148	21.70499	21.64982	21.60618	21.56849	21.52155	21.45799	21.37481	21.27809	21.17346	19.3082	19.20686	17.37032	19.667386	2016	17.37032	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
